Wall time,Step,Value
1637719172.0222502,12422,0.0
1637719173.0133502,12423,0.0
1637719231.3411806,12437,0.0
1637719388.7750099,12476,0.0
1637719396.6395144,12478,0.0
1637719404.3997874,12480,0.0
1637720354.1401165,12554,0.0
1637720540.364371,12601,0.0
1637720707.0239131,12642,0.0
1637720747.372868,12653,0.0
1637721374.5519834,12679,0.0
1637721571.1405263,12727,0.0
1637721832.5266914,12791,0.0
1637722709.9402618,12847,0.0
1637722759.2978532,12858,0.0
1637723637.700491,12944,0.0
1637723751.2484915,12972,0.0
1637723784.510587,12981,0.0
1637723848.774288,12997,0.0
1637723900.857337,13010,0.0
1637723931.1303797,13018,0.0
1637723954.4183419,13024,0.0
1637724007.7145488,13037,0.0
1637724050.8345575,13047,0.0
1637724051.6182072,13048,0.0
1637724904.2736712,13092,0.0
1637725820.398182,13188,0.0
1637725860.3966448,13198,0.0
1637725977.4377906,13227,0.0
1637726010.4546716,13234,0.0
1637726045.0067985,13243,0.0
1637726078.0897322,13250,0.0
1637726258.0115147,13295,0.0
1637726300.445985,13304,0.0
1637727289.9099789,13388,0.0
1637728097.3760426,13455,0.0
1637728252.6982317,13492,0.0
1637728379.849235,13522,0.0
1637728411.0676653,13531,0.0
1637728490.804089,13550,0.0
1637728526.007471,13558,0.0
1637729297.8732393,13588,0.0
1637729314.4904895,13592,0.0
1637729531.4436603,13647,0.0
1637729583.7142792,13660,0.0
1637730284.7654479,13702,0.0
1637730338.7464914,13716,0.0
1637730517.259656,13759,0.0
1637730609.03331,13781,0.0
1637730687.8151531,13802,0.0
1637731533.4475522,13849,0.0
1637731606.409278,13867,0.0
1637731706.0969572,13890,0.0
1637731811.1719704,13916,0.0
1637732555.4552374,13971,0.0
1637732703.2372115,14006,0.0
1637732816.5239482,14035,0.0
1637732863.958954,14046,0.0
1637733661.9915705,14083,0.0
1637733746.7200167,14102,0.0
1637733804.181418,14116,0.0
1637733847.6933668,14127,0.0
1637733871.842208,14133,0.0
1637733905.0312686,14140,12.5
1637734051.7996683,14177,12.5
1637734125.1503606,14194,0.0
1637734175.2736065,14206,0.0
1637734707.8860943,14209,0.0
1637734739.3058276,14217,0.0
1637734764.048384,14223,0.0
1637734934.1910496,14265,0.0
1637735895.852494,14341,0.0
1637735928.576678,14349,12.5
1637735951.7093256,14354,12.5
1637736003.507934,14366,0.0
1637736004.2833567,14367,0.0
1637736037.173522,14375,0.0
1637736142.4749072,14400,0.0
1637736158.5548017,14405,0.0
1637736244.754326,14427,0.0
1637736251.410023,14428,0.0
1637737220.5921128,14535,0.0
1637737228.5680413,14536,0.0
1637737389.1274765,14577,0.0
1637738234.384483,14623,0.0
1637738324.5750878,14645,0.0
1637739170.5025685,14722,0.0
1637739223.1048534,14736,0.0
1637739316.9056735,14760,0.0
1637739422.5188088,14785,0.0
1637739527.3562317,14810,0.0
1637739571.3587885,14819,0.0
1637739657.8049564,14840,0.0
1637740449.5574574,14851,0.0
1637740513.6978955,14864,0.0
1637740532.7770104,14868,0.0
1637740675.254798,14899,0.0
1637740702.8823848,14904,0.0
1637740729.3895524,14910,0.0
1637740796.1385694,14925,0.0
1637740869.0946653,14940,0.0
1637740934.1369715,14954,0.0
1637741691.9648318,14983,0.0
1637741866.2716358,15019,0.0
1637742090.8868258,15066,0.0
1637742108.4467542,15070,0.0
1637742244.0444672,15098,0.0
1637742990.0880034,15110,0.0
1637743032.4651153,15120,0.0
1637743103.5518668,15138,0.0
1637743259.56227,15176,0.0
1637743301.9109406,15185,0.0
1637743358.317261,15199,0.0
1637744378.4975991,15318,0.0
1637744440.6114478,15334,0.0
1637744495.1490383,15348,0.0
1637745212.141781,15362,0.0
1637745244.3101737,15371,0.0
1637745435.0285447,15419,0.0
1637745522.3246548,15441,0.0
1637745603.3614106,15462,0.0
1637746244.1104834,15490,0.0
1637746252.3238025,15492,0.0
1637746759.1344755,15610,0.0
1637747530.8673909,15638,12.5
1637747797.5410767,15700,0.0
1637747848.7611265,15712,0.0
1637748566.5042894,15749,0.0
1637748713.7622423,15783,0.0
1637748758.9426937,15793,0.0
1637748792.4924188,15801,0.0
1637748843.360812,15814,0.0
1637748869.5858521,15820,0.0
1637748920.0869355,15831,0.0
1637749762.1709552,15873,0.0
1637749771.4169984,15875,0.0
1637749980.8591444,15921,0.0
1637749981.6466448,15922,0.0
1637750157.526702,15962,0.0
1637752008.3195953,16022,0.0
1637752071.5869122,16057,0.0
1637752074.7499783,16058,0.0
1637752181.96703,16119,12.5
1637752504.324174,16136,0.0
1637752652.1733172,16216,0.0
1637752655.4549062,16218,0.0
1637752985.3335066,16267,0.0
1637753013.7635686,16283,0.0
1637753015.2396362,16284,0.0
1637753018.4871368,16286,0.0
1637753155.1563797,16356,0.0
1637753607.8768196,16426,0.0
1637753699.767988,16475,0.0
1637753703.225921,16477,0.0
1637753721.8854177,16487,0.0
1637754025.5719676,16522,12.5
1637754041.7373977,16531,0.0
1637754062.0118215,16540,0.0
1637754183.0331361,16603,0.0
1637754190.4863367,16607,0.0
1637754622.5845926,16665,0.0
1637754668.2148666,16688,0.0
1637754701.6402204,16706,0.0
1637754756.8134947,16736,0.0
1637754792.400485,16755,0.0
1637755157.2682273,16819,0.0
1637755164.792648,16823,0.0
1637755256.6544409,16874,0.0
1637755634.417818,16915,0.0
1637755645.4498394,16921,0.0
1637755649.7756474,16923,0.0
1637755661.8704896,16929,0.0
1637755794.5109196,16998,0.0
1637755795.8167086,16999,0.0
